Violation_Code,Health_Code,Violation_Summary,Category_Description,Violation_Template,Condition I,Condition II,Condition III,Condition IV,Condition V
16C,NYCHC 81.50(c),Calorie information improperly posted for standard menu items  offered in three or more combinations,CALORIE MENU LABELING,"Calorie information improperly posted <IN/AT/ON> the <MENU POSTING> for <COMBINATION>, a standard menu item(s) that <IS/ARE> not provided with a range of the calorie count.  The <MENU/MENU BOARD> is located <IN/AT/ON> <LOCATION>.  NYCHC 81.50(c) Guidance:  <MENU WRITTEN REQUIREMENTS 1> ",,,,,
16C,NYCHC 81.50(c),Calorie information improperly posted for standard menu items offered in three or more different varieties.,CALORIE MENU LABELING,"Calorie information improperly posted <IN/AT/ON> the <MENU POSTING> for <COMBINATION>, a standard menu item(s) where the calorie information <IS/ARE> not provided with a range of calorie count.  The <MENU/MENU BOARD> is located <IN/AT/ON> <LOCATION>.  NYCHC 81.50(c)  Guidance:   <MENU WRITTEN REQUIREMENTS 1>",,,,,
16C,NYCHC 81.50(c),Calorie information not posted  for combination meals,CALORIE MENU LABELING,"Calorie information not posted <IN/AT/ON> the <MENU POSTING> for <CONDITION 159> that <IS/ARE> standard menu item(s) offered with <QUANTITY> combinations/sides; <COMBINATION>, and the calorie information <IS/ARE> not posted.  NYCHC 81.50(c)   Guidance:  <MENU WRITTEN REQUIREMENTS 1>",,,,,
16C,NYCHC 81.50(c),Calorie information not posted  for standard menu items offered in different varieties,CALORIE MENU LABELING,Calorie information not posted <IN/AT/ON> the <MENU POSTING> for <CONDITION 159> that <IS/ARE> standard menu item(s) offered in <QUANTITY> different <VARIETY> and the calorie information content <IS/ARE> not listed.  NYCHC 81.50(c)   Guidance:  <MENU WRITTEN REQUIREMENTS 1>,,,,,
16C,NYCHC 81.50(c),Calorie information not posted for toppings,CALORIE MENU LABELING,Calorie information not posted for <FOOD>  topping(s) that <IS/ARE> are listed on the <MENU POSTING> for <CONDITION 159>.   NYCHC 81.50(c)   Guidance: A separate calorie count must be posted for each topping option listed on the menu.,,,,,
16C,NYCHC 81.50(c),Total number of Calories  or total number of discrete calories not posted.,CALORIE MENU LABELING,"Total number of calories and total number of calories for a discrete serving unit not posted <IN/AT/ON> <MENU POSTING> for <CONDITION 159> in that <DESCRIPTION 159> NYCHC 81.50(c).  Guidance: Covered establishments must post calorie information for standardized menu items on menu boards and menus, next to each menu item and price.",,,,,
16D,NYCHC 81.50(d),Daily calorie allowance information not posted,CALORIE MENU LABELING,Daily calorie allowance nutritional information statement not posted on menu boards or on each page of a menu in that <MENU/MENU BOARD> does not have the required statement on the <POSTED/PROVIDED> <MENU/MENU BOARD> <IN/AT/ON> <LOCATION> .  <OPTIONAL INPUT 167>  NYCHC 81.50(d)   General requirement:  <MENU WRITTEN REQUIREMENTS 2>,,,,,
16E,NYCHC 81.50(e),Additional Nutritional information statement not posted,CALORIE MENU LABELING,"Additional written nutritional information statement not posted prominently and conspicuously on <MENU/MENU BOARD> <IN/AT/ON> <LOCATION>.   NYCHC 81.50(e)   Guidance:  All menu and menu boards must prominently state in a clear and conspicuous manner:  ""Additional nutritional information available upon request""",,,,,
16E,NYCHC 81.50(e),Additional Written Nutritional information not available,CALORIE MENU LABELING,"Written nutritional information not on the premises or available to customers in that written nutrition information was not provided by <EMPLOYEE> of the covered FSE when requested at time of the inspection.  NYCHC 81.50(e) General requirement:  Written nutrition information for standard menu items must be provided to patrons upon request.  Provide this information in the order listed and using the measurements specified: total calories (cal), calories from fat (fat cal), total fat (g), saturated fat (g), trans fat (g), cholesterol (mg), sodium (mg), total carbohydrates (g), dietary fiber (g), sugar (g) and protein (g). This information can appear on a counter card, sign, poster, handout, booklet, loose-leaf binder, menu, electronic device on the premises or other similar means.",,,,,
16J,NYCHC 81.49(b)(1),Sodium Warning - Icon not posted,SODIUM WARNING,"Sodium warning icon not posted on the <MENU/MENU BOARD> next to the <MENU_NAME_RANDOM> <AND WAS ON DISPLAY/BYPASS> <in/at/on> the <EQUIPMENT><LOCATION>.  The sodium content is equal to or greater than the daily recommended limit of 2,300 mg.  Note: The sodium content of the menu item was obtained via the establishment's website and the establishment is part of a chain with 15 or more locations doing business under the same name. Guidance:  The sodium warning icon must be obtained or can be reproduced from nyc.gov/health/salt.  The icon must appear on your menu or menu board next to any food item that contains 2,300 mg or more of sodium per serving and on any food tag next to any food on display that contains 2,300 mg or more of sodium per serving. (NYCHC 81.49(b)(1))",,,,,
16K,NYCHC 81.49(b)(1),Sodium Warning - Icon Not Compliant,SODIUM WARNING,"The posted sodium warning icon on the <MENU/MENU BOARD> at the <LOCATION> was not <SODIUM WARNING ICON DESCRIPTION>.  Guidance:  The icon must be a black and white equilateral triangle as wide as it is tall and equal in height to the largest letter in the food item’s name, as displayed on the menu, menu board, or tag next to any food on display. (NYCHC 81.49(b)(1))",,,,,
16L,NYCHC 81.49(b)(2),Sodium Warning - Statement,SODIUM WARNING,"Sodium warning statement not posted conspicuously at <POINT OF PURCHASE>; in that <MENU_NAME_RANDOM> which is equal to or greater than the daily recommended limit of 2,300 mg was observed <in/at/on> the <MENU/MENU BOARD> and <CONDITION 579>.  Guidance:  In addition to the sodium warning icon that must appear on the menu, menu board and food tags, the following warning statement must be posted conspicuously at all points of purchase: ""Warning: the black equilateral triangle enclosing a salt shaker indicates that the sodium (salt) content of this item is higher than the total daily recommended limit (2300 mg). High sodium intake can increase blood pressure and risk of heart disease and stroke.""  NYCHC 81.49(b)(2)",,,,,
17A1,24 RCNY 32-03,Dogs allowed sign not posted at  or near the entrance,COMPANION DOGS IN FOOD SERVICE ESTABLISHMENT,Required sign that indicates the establishment allows dogs was not posted at or near the entrance of the establishment and there  <WAS/WERE> <#> customer(s) with <#> dog(s) in the outdoor dining area.   <OPTIONAL INPUT 612> Guidance:  Review http://www1.nyc.gov/assets/doh/downloads/pdf/rii/dog-dining-factsheet.pdf for sign requirements.  24 RCNY 32-03,,,,,
17A2,24 RCNY 32-03,Dogs allowed sign incomplete,COMPANION DOGS IN FOOD SERVICE ESTABLISHMENT,Required sign that indicates the establishment allows dogs incomplete in that the following statement(s) <WAS/WERE>  not included on the posted sign:  <CONDITION 613> <AND/BYPASS> <CONDITION 613> <AND/BYPASS> <CONDITION 613> <WAS/WERE> not posted on the sign.    Guidance:  Review http://www1.nyc.gov/assets/doh/downloads/pdf/rii/dog-dining-factsheet.pdf for sign requirements.  24 RCNY 32-03,,,,,
17A3,24 RCNY 32-04(c),Effective barrier not provided ,COMPANION DOGS IN FOOD SERVICE ESTABLISHMENT,"No barrier provided around the unenclosed sidewalk cafe, and there <WAS/WERE> <#> customer(s) with <#> dog(s) at the time of the inspection. <OPTIONAL INPUT 612>  Guidance: Review http://www1.nyc.gov/assets/doh/downloads/pdf/rii/dog-dining-factsheet.pdf for effective barriers.  24 RCNY 32-04(c)",,,,,
18A,NYCHC 81.05(a),Permit: FSC/ NRFP,PERMIT/FPC,Current valid permit to operate a <ESTABLISHMENT 1> issued by the Department of Health and Mental Hygiene not provided <CONDITION 1>. Corrective action: <CORRECTIVE ACTION 1>. NYCHC 81.05(a),,,,,
18A,NYCHC 88.05(c),Permit: TFSE,PERMIT/FPC,Current valid permit to operate a temporary food establishment issued by the Department of Health not provided <CONDITION 2>. Corrective action: <CORRECTIVE ACTION 2>. NYCHC 88.05(c),,,,,
18B,NYCHC 3.19,Department document unlawfully reproduced or altered.,PERMIT/FPC,Department document unlawfully reproduced in that <#> <CONDITION 132> <DOCUMENT> noted on site. Corrective action: Document(s) confiscated. NYCHC 3.19 ,,,,,
18C,NYCHC 3.17,"Closing signs: obstructed, removed...",OBSTRUCTION,Closing sign(s) posted on establishment <WAS/WERE> <CONDITION 5> without authorization in that <#> closing signs numbered <#> <WAS/WERE> observed <KEYBOARD ENTRY>. Corrective action: <CORRECTIVE ACTION 5>. NYCHC 3.17 ,,,,,
18D,NYCHC 3.05(a),"Failure to comply with an Order of the Board of Health, Commissioner or Department",OTHER,School found to be in violation of the Order of the <DEPARTMENT/COMMISSIONER> dated <DATE> and served on <DATE>. School failed to <CONDITION 717><CONDITION 717C><CONDITION 717C><CONDITION 717C><CONDITION 717C><CONDITION 717C><CONDITION 717C>. <CONDITION 717> Corrective action: <CORRECTIVE ACTION 717>. NYCHC 3.05(a),,,,,
18D,NYCHC 3.05(a),Violation of Order,OTHER,Establishment found to be in violation of the Order of the  <DEPARTMENT/COMMISSIONER> dated <DATE> and served on <DATE> in that <CONDITION 6>. At the time of inspection <KEYBOARD ENTRY>. Corrective action: <CORRECTIVE ACTION 6>. NYCHC 3.05(a),,,,,
18E,NYCHC 81.43(a),Foodborne illness: Failure to notify department,OTHER,Failure to notify department of foodborne illness incident in that <KEYBOARD ENTRY>. NYCHC 81.43(a) ,,,,,
18F,NYCHC 5.15,Permit: not posted,PERMIT/FPC,Permit to operate a <ESTABLISHMENT 80> not conspicuously displayed to the public. NYCHC 5.15 ,,,,,
18G,NYCHC 81.15(b),Food Protection Certificate not available for inspection,PERMIT/FPC,"Food Protection Certificate (FPC) not available for inspection in that <KEYBOARD ENTRY> who was supervising the food operations at the time of inspection did not have <HIS/HER> FPC certificate available for inspection.    No other supervisor of the food operations  had a Food Protection Certificate available at the time of inspection.     Corrective action: Operator was instructed that at least one person who holds a FPC must be present during all hours of operation, and that the certificate must be available for inspection at all times.    NYCHC 81.15(b)",,,,,
18H,NYCHC 88.21(a),Sponsor of Event: unpermitted establishments,PERMIT/FPC,Sponsor was operating an event where temporary food establishments were observed participating in the event without a current valid permit or registration certificate issued by the Department of Health in that <#> establishment(s) found operating at <EVENT> on <DATE> located at <EVENT LOCATION> without <CONDITION 82>. The following vendors were observed operating without a permit:<VENDOR> <VENDOR LOCATION> DOCKET <#>. NYCHC 88.21(a) ,,,,,
19A1,16 RCNY 1-11(c)(1),Organics containers not provided,ORGANIC WASTE GENERATED BY COMMERCIAL ESTABLISHMENT,"Separate container for the disposal of organic waste not provided in food preparation and processing area(s) in that <ORGANIC WASTE> <IS/ARE> being combined with <CONDITION 78> <IN/AT/ON> <LOCATION>, an area where employees are preparing <FOOD>.  <COVERED ESTABLISHMENT>  16 RCNY 1-11(c)(1).   Guidance:  Separate containers for the disposal of organic waste must be provided in any area where organic waste is generated by employees during the preparation of food and must be properly labeled to indicate that only organic waste (compostable plastic, food scraps, soiled paper, and plant trimmings) are to be placed into the labeled containers. <COMPOSTABLE CERTIFICATION/BYPASS> ",,,,,
19A2,16 RCNY 1-11(c)(1),Organics containers not labeled,ORGANIC WASTE GENERATED BY COMMERCIAL ESTABLISHMENT,Container(s) used for the disposal of organic waste not properly labeled to indicate that only organic waste may be disposed therein in that <ORGANIC WASTE> <IS/ARE> being disposed  in an unlabeled container with <CONDITION 78> <IN/AT/ON> <LOCATION> an area where employees are preparing food .  16 RCNY 1-11(c)(1).  Guidance:  Containers used for organic waste must be properly labeled in a manner that indicates the containers are only for disposal of organic waste.,,,,,
19A3,16 RCNY 1-11(d)(2),Failure to post signage in organics collection areas,ORGANIC WASTE GENERATED BY COMMERCIAL ESTABLISHMENT,Instructions on how to separate organic waste not posted <IN/AT/ON> <LOCATION> an area where employees are disposing of organic waste.    16 RCNY 1-11(d)(2)  Guidance:  A covered establishment must post instructions on the separation requirements for organic waste in an area where such instructions will be visible to employees who are disposing of organic waste.  The instructions must state that organic waste is required to be source separated and shall explain how to source separate the material.,,,,,
20A,24 RCNY 27.03(c),Allergen poster not posted,ALLERGEN POSTER,Food allergy information poster not conspicuously posted <IN/AT/ON> <LOCATION> where food is being prepared or processed.  24 RCNY 27.03  (c ),,,,,
20B,24 RCNY 27.03(b),Allergy poster not in languages,ALLERGEN POSTER,A <LANGUAGE> food allergy information poster not posted conspicuously <IN/AT/ON> <LOCATION> where <#> food worker(s) out of <#> food worker(s ) only understand <LANGUAGE>.  24RCNY 27.03(b),,,,,
20C,24 RCNY 27.03(b),"Allergy poster is not approved by the Department, and it does not contain the required text that states that <text>.",ALLERGEN POSTER,"Allergy information poster is not approved by the department, and it does not contain the required text: <TEXT-SELECTION><AND/BYPASS><TEXT-SELECTION><AND/BYPASS><TEXT-SELECTION><AND/BYPASS><TEXT-SELECTION><AND/BYPASS><TEXT-SELECTION><AND/BYPASS><TEXT-SELECTION><AND/BYPASS><TEXT-SELECTION><AND/BYPASS><TEXT-SELECTION>.",,,,,
20D,24 RCNY 18-02,Resuscitation equipment,OTHER,"Resuscitation equipment consisting of two exhaled air resuscitation masks (adult and pediatric) or one universal exhaled air resuscitation mask, latex gloves and sign not provided <CONDITION 106>. 24 RCNY 18-02",,,,,
20D,24 RCNY 18-04,Resuscitation equipment,OTHER,"Resuscitation notice to all patrons indicating that resuscitation equipment for emergency use is available, its location and information on how to receive CPR training is not provided <CONDITION 106>. 24 RCNY 18-04 ",,,,,
20D,Admin. Code 17-172(a),Choking first aid poster,SIGNS,Choking first aid poster not conspicuously displayed in dining area of food service establishment. Admin. Code 17-172(a) ,,,,,
20D,Admin. Code 17-173(2)(b),Alcohol/pregnancy sign,SIGNS,Alcohol and pregnancy warning sign not posted conspicuously where alcohol is being served. Admin. Code 17-173(2)(b) ,,,,,
20E,24 RCNY 23-07(f),Grade Card Conspicuously posted,LETTER GRADE ,Failure to conspicuously post a grade pending card or letter grade card in that <LETTER GRADE> was posted <IN/AT/ON> <POSITION> <LOCATION> where it was not <VISIBLE>.  <CONDITION 192>.  <OPTIONAL INPUT 192>.  <OPTIONAL INPUT 193>.   24 RCNY 23-07(f),,,,,
20F,24 RCNY 23-06(d),Grade Card not posted (grade card posting for FSE'S that are re-opened after being closed by BFSCS),LETTER GRADE ,Failure to post a grade card after being re-opened by the Department of Health and Mental Hygiene in that establishment was re-opened on <KEYBOARD ENTRY> at which time <KEYBOARD ENTRY> grade card(s) <WAS/WERE> issued for immediate posting.  <KEYBOARD ENTRY>.   24 RCNY 23-06(d),,,,,
20F,24 RCNY 23-07,Grade Card not posted,LETTER GRADE ,Failure to post a grade pending card or letter grade card in that <CONDITION 193>.  <OPTIONAL INPUT 193>.  24 RCNY 23-07/23-07(f),,,,,
22A,NYCHC 131.07(c)(2) ,Temperature: commercial building (65°F),TEMPERATURE REGULATING,Temperature of at least 65°F (18.3°C) not maintained in commercial building when the outside temperature is less than 50°F (10°C) during working hours. Outside temperature recorded at <#>°F. <#>°F recorded <LOCATION>. NYCHC 131.07(c)(2),,,,,
22A,NYCHC 3.07,CO2 cylinders unsecured,EQUIPMENT,Nuisance exist in that cylinder(s) containing gas not secured in that <#> <GAS> cylinder(s)observed not secured <LOCATION>. NYCHC 3.07,,,,,
22A,NYCHC 3.07,Failure to take reasonable precautions to protect health and safety.,OTHER,"Business not in compliance with NYS guidance, as required under the Governor’s and Mayor’s Executive Orders. Business failed to <CONDITION 716><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C><CONDITION 716C>. <CONDITION 716> Corrective action: <CORRECTIVE ACTION 716>. NYCHC 3.07",,,,,
22A,NYCHC 3.07,Unsafe/hazardous condition,OTHER,Premises not free from unsafe or hazardous condition that may endanger the life or health of employees and other persons in that <CONDITION 47> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 47>. NYCHC 3.07,,,,,
22C,NYCHC 81.19(b),Light fixtures not shielded,FACILITY,Light fixtures not properly shielded in that <CONDITION 87> <IN/AT/ON> <EQUIPMENT> <LOCATION>. NYCHC 81.19(b),,,,,
22E,NYCHC 81.12(g),Equipment used for ROP not approved by the Department,EQUIPMENT,<QUANTITY> <BRANDNAME ENTRY> <ROP EQUIPMENT> <BYPASS/BEING USED> <IN/AT/ON> <EQUIPMENT> <LOCATION> is not approved by the Department. <CORRECTIVE ACTION 176>  NYCHC 81.12(g) ,,,,,
22F,NYCHC 71.05(a),Labeling improper/misbranded,LABELING,Packaged or bottled food not properly labeled or misbranded in that that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> found <MISBRANDED> <IN/AT/ON> <EQUIPMENT> <LOCATION>. <MV DETAILS> Corrective action: <CORRECTIVE ACTION 22>. NYCHC 71.05(a),,,,,
22F,NYCHC 71.05(b),Labeling requirements,LABELING,Packaged food or bottles not properly labeled in the English language in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <WAS/WERE> found <KEYBOARD ENTRY> <IN/AT/ON> <EQUIPMENT> <LOCATION>. <KEYBOARD ENTRY>.  Corrective action: <CORRECTIVE ACTION 22>. NYCHC 71.06,,,,,
22G,Admin. Code16-329(c),Sale or use of certain expanded polystyrene items restricted,EXPANDED POLYSTYRENE,Sale or use of non-recyclable expanded polystyrene single service articles in that <UNIT> <of/BYPASS> <POLYSTYRENE TYPE> <WAS/WERE> observed being <POLYSTYRENE ACTIVITY> <IN/AT/ON> <EQUIPMENT> <LOCATION>. <BYPASS/KEYBOARD ENTRY> Admin. Code16-329(c),,,,,
